"Id";"PropertyId";"SourceId";"DestinationId";"Adults";"Children";"Rooms";"InDate";"OutDate";"Rate"
30;9439;1;77;2;0;1;"2015-07-15";"2015-07-22";71.99
31;23187;1;285;2;2;1;"2015-07-14";"2015-07-15";109.0
32;8983;1;77;2;0;1;"2015-08-15";"2015-08-16";79.99
33;23452;1;285;1;0;1;"2015-12-14";"2015-12-17";104.72
34;23196;1;285;2;0;1;"2015-07-17";"2015-07-19";80.1
35;23851;1;285;1;0;1;"2015-08-02";"2015-08-04";84.15
36;23694;1;285;1;0;1;"2015-07-15";"2015-07-16";119.0
37;9229;1;77;2;0;1;"2015-07-19";"2015-07-25";94.99
38;23783;1;285;2;0;1;"2015-07-21";"2015-07-23";124.0
39;23440;1;285;1;0;1;"2015-07-22";"2015-07-24";111.6
40;23227;1;285;2;0;1;"2015-07-17";"2015-07-19";85.0
41;23249;1;285;1;0;1;"2015-07-24";"2015-07-26";94.5
42;23371;1;285;2;0;1;"2015-07-17";"2015-07-19";89.1
43;23917;1;285;2;0;1;"2015-07-15";"2015-07-16";104.0
44;23896;1;285;1;0;1;"2015-07-19";"2015-07-24";161.1
45;23647;1;285;1;0;1;"2015-08-25";"2015-08-26";107.1
46;23952;1;285;1;1;1;"2015-07-16";"2015-07-17";69.52
47;23293;1;285;2;0;1;"2015-07-24";"2015-07-25";55.0
48;23865;1;285;2;2;1;"2015-07-19";"2015-07-22";149.0
49;24006;1;285;1;0;1;"2015-07-21";"2015-07-23";52.7
50;23518;1;285;1;0;1;"2015-07-19";"2015-07-23";85.0
51;23629;1;285;1;0;1;"2015-07-15";"2015-07-17";99.0
52;23745;1;285;2;0;1;"2015-07-15";"2015-07-16";134.1
53;23215;1;285;1;0;1;"2015-07-15";"2015-07-16";80.1
54;8989;1;77;2;0;1;"2015-07-25";"2015-07-26";114.99
55;23404;1;285;1;0;1;"2015-07-21";"2015-07-23";69.0
56;2527;1;152;1;0;1;"2015-11-20";"2015-11-22";72.0
57;9099;1;77;2;0;1;"2015-07-26";"2015-07-27";74.99
58;9098;1;77;2;2;1;"2015-07-27";"2015-07-28";104.99
59;23334;1;285;1;0;1;"2015-07-15";"2015-07-17";144.0
60;23865;1;285;2;0;1;"2015-07-18";"2015-07-19";319.0
61;23892;1;285;2;2;1;"2015-07-15";"2015-07-16";89.0
62;23811;1;285;1;0;1;"2015-07-21";"2015-07-25";68.0
63;8870;1;77;1;0;1;"2015-07-26";"2015-07-31";1.0
64;23577;1;285;2;0;1;"2015-07-31";"2015-08-01";116.1
65;9098;1;77;2;2;1;"2015-07-27";"2015-07-28";104.99
66;23635;1;285;1;0;1;"2015-07-15";"2015-07-16";95.0
67;23351;1;285;2;0;1;"2015-08-23";"2015-08-25";5.0
68;23570;1;285;1;0;1;"2015-07-19";"2015-08-01";174.0
69;9059;1;77;1;0;1;"2015-07-16";"2015-07-17";87.99
70;23274;1;285;2;0;1;"2015-07-19";"2015-07-20";89.0
71;23689;1;285;1;0;1;"2015-08-05";"2015-08-08";89.25
72;8980;1;77;1;0;1;"2015-09-24";"2015-09-28";64.99
73;23901;1;285;1;0;1;"2015-07-15";"2015-07-16";59.0
74;23225;1;285;2;0;1;"2015-07-15";"2015-07-16";69.0
75;23803;1;285;1;0;1;"2015-07-15";"2015-07-16";108.3
76;23578;1;285;2;0;1;"2015-07-15";"2015-07-19";74.8
77;23305;1;285;1;0;1;"2015-07-19";"2015-07-23";71.25
78;23841;1;285;2;0;1;"2015-07-15";"2015-07-16";107.1
79;23377;1;285;1;1;1;"2015-07-20";"2015-08-04";94.0
80;23592;1;285;1;0;1;"2015-07-30";"2015-07-31";107.1
81;23823;1;285;2;0;1;"2015-07-19";"2015-07-20";99.0
82;23409;1;285;1;0;1;"2015-07-20";"2015-07-21";55.0
83;23652;1;285;2;0;1;"2015-07-31";"2015-08-01";95.0
84;23184;1;285;1;0;1;"2015-09-10";"2015-09-12";72.25
85;23452;1;285;1;0;1;"2015-07-23";"2015-07-26";83.6
86;23416;1;285;2;0;1;"2015-07-15";"2015-07-16";75.0
87;23274;1;285;3;0;1;"2015-07-30";"2015-07-31";95.0
88;23578;1;285;2;2;1;"2015-07-17";"2015-07-19";85.0
89;9113;1;77;3;0;1;"2015-08-20";"2015-08-27";134.99
90;23604;1;285;1;0;1;"2015-07-30";"2015-08-01";114.0
91;23544;1;285;1;0;1;"2015-12-07";"2015-12-08";75.0
92;23864;1;285;1;0;1;"2015-07-17";"2015-07-19";79.0
93;23851;1;285;1;0;1;"2015-08-02";"2015-08-05";101.15
94;23199;1;285;1;0;1;"2015-07-30";"2015-07-31";82.0
95;23506;1;285;2;0;1;"2015-07-19";"2015-07-20";89.76
96;23699;1;285;1;0;1;"2015-07-15";"2015-07-16";115.0
97;23404;1;285;1;0;1;"2015-07-20";"2015-07-21";50.15
98;23366;1;285;4;0;1;"2015-09-01";"2015-09-02";99.0
99;23852;1;285;2;0;1;"2015-07-22";"2015-07-23";125.0
100;23573;1;285;1;0;1;"2015-09-04";"2015-09-05";52.0
101;23199;1;285;2;0;1;"2015-07-31";"2015-08-01";84.6
102;23844;1;285;2;0;1;"2015-09-26";"2015-09-27";70.3
103;23516;1;285;2;0;1;"2015-08-19";"2015-08-20";67.5
104;23973;1;285;2;0;1;"2015-07-19";"2015-07-22";60.3
105;23171;1;285;2;2;1;"2015-07-19";"2015-07-20";59.0
106;23342;1;285;2;1;1;"2015-11-17";"2015-11-19";80.0
107;23851;1;285;1;0;1;"2015-08-02";"2015-08-04";84.15
108;23748;1;285;1;0;1;"2015-07-21";"2015-07-22";135.0
109;23548;1;285;1;0;1;"2015-07-15";"2015-07-16";132.0
110;23614;1;285;2;0;1;"2015-08-12";"2015-08-13";84.15
111;23436;1;285;3;0;1;"2015-08-02";"2015-08-03";111.6
112;23419;1;285;1;0;1;"2015-07-24";"2015-07-26";125.0
113;23360;1;285;1;0;1;"2015-07-19";"2015-07-24";73.8
114;23597;1;285;2;2;1;"2015-07-21";"2015-07-22";89.0
115;23726;1;285;2;0;1;"2015-07-17";"2015-07-19";125.0
116;23548;1;285;1;2;1;"2015-07-24";"2015-07-28";104.72
117;9420;1;77;1;2;1;"2015-07-16";"2015-08-15";59.99
118;9439;1;77;2;0;1;"2015-07-15";"2015-07-22";71.99
119;23380;1;285;2;1;1;"2015-07-28";"2015-08-01";189.0
120;9098;1;77;2;2;1;"2015-07-27";"2015-07-28";104.99
121;23377;1;285;1;0;1;"2015-07-15";"2015-07-16";92.0
122;23994;1;285;1;0;1;"2015-09-21";"2015-09-22";76.5
123;23579;1;285;1;0;1;"2015-07-15";"2015-07-16";104.0
124;9059;1;77;1;0;1;"2015-07-16";"2015-07-17";87.99
125;23857;1;285;1;0;1;"2015-07-18";"2015-07-19";78.32
126;23545;1;285;1;0;1;"2015-08-25";"2015-08-28";84.0
127;23351;1;285;1;0;1;"2015-07-16";"2015-07-22";75.0
128;24003;1;285;1;2;1;"2015-07-28";"2015-07-30";85.0
129;23769;1;285;2;0;1;"2015-08-17";"2015-08-19";188.1
130;23209;1;285;1;0;1;"2015-07-15";"2015-07-16";79.0
131;9118;1;77;2;0;1;"2015-07-20";"2015-07-24";104.49
132;24008;1;285;1;0;1;"2015-07-15";"2015-07-16";68.0
133;23982;1;285;2;0;1;"2015-07-15";"2015-07-16";109.0
134;23229;1;285;2;2;1;"2015-07-22";"2015-07-24";80.0
135;23969;1;285;1;0;1;"2015-07-15";"2015-07-20";109.0
136;23307;1;285;2;0;1;"2015-07-18";"2015-07-20";59.0
137;23967;1;285;2;3;1;"2015-07-27";"2015-07-29";98.1
138;23453;1;285;1;0;1;"2015-07-21";"2015-07-23";76.5
139;23377;1;285;1;2;1;"2015-07-20";"2015-08-04";94.0
140;23643;1;285;2;0;1;"2015-07-18";"2015-07-19";69.52
141;23448;1;285;1;0;1;"2015-07-25";"2015-07-26";149.0
142;23259;1;285;2;0;1;"2015-07-17";"2015-07-19";80.1
143;9141;1;77;1;0;1;"2015-07-27";"2015-08-05";73.59
144;23296;1;285;1;0;1;"2015-08-15";"2015-08-16";141.55
145;23592;1;285;1;0;1;"2015-07-31";"2015-08-05";111.6
146;23349;1;285;1;0;1;"2015-07-20";"2015-07-21";217.55
147;9099;1;77;2;0;1;"2015-07-23";"2015-07-24";74.99
148;9099;1;77;2;0;1;"2015-07-26";"2015-07-27";74.99
149;23308;1;285;1;0;1;"2015-07-18";"2015-07-19";56.25
150;23169;1;285;2;0;1;"2015-07-14";"2015-07-15";119.0
151;23232;1;285;1;0;1;"2015-07-15";"2015-07-16";75.0
152;23518;1;285;1;0;1;"2015-07-17";"2015-07-19";95.0
153;23416;1;285;1;0;1;"2015-07-21";"2015-07-23";62.0
154;23570;1;285;1;0;1;"2015-07-19";"2015-07-24";78.0
155;23581;1;285;2;2;1;"2015-07-18";"2015-07-19";95.92
156;23353;1;285;1;0;1;"2015-10-18";"2015-10-19";130.5
157;24003;1;285;2;0;1;"2015-08-06";"2015-08-07";85.0
158;2527;1;152;1;0;1;"2015-11-20";"2015-11-21";72.0
159;23837;1;285;1;0;1;"2015-07-23";"2015-07-26";89.0
160;23546;1;285;1;0;1;"2015-08-05";"2015-08-10";83.0
161;23480;1;285;1;0;1;"2015-08-02";"2015-08-09";139.0
162;23401;1;285;2;0;1;"2015-07-27";"2015-07-31";90.0
163;23479;1;285;1;0;1;"2015-07-19";"2015-07-25";165.6
164;23518;1;285;1;0;1;"2015-08-09";"2015-08-11";99.0
165;23456;1;285;3;0;1;"2015-07-29";"2015-07-30";88.0
166;23949;1;285;1;2;1;"2015-07-20";"2015-07-22";174.6
167;9315;1;77;1;1;1;"2015-07-29";"2015-07-31";89.99
168;23726;1;285;2;0;1;"2015-07-17";"2015-07-19";125.0
169;23267;1;285;2;0;1;"2015-07-20";"2015-07-21";109.0
170;24004;1;285;1;0;1;"2015-07-15";"2015-07-16";82.0
171;24003;1;285;2;0;1;"2015-08-20";"2015-08-22";94.0
172;13939;1;314;1;0;1;"2016-07-10";"2016-07-13";121.8
173;23961;1;285;1;1;1;"2015-07-17";"2015-07-19";139.0
174;23936;1;285;2;0;1;"2015-07-18";"2015-07-19";85.5
175;23281;1;285;1;0;1;"2015-07-15";"2015-07-16";55.0
176;23350;1;285;1;0;1;"2015-08-11";"2015-08-12";152.1
177;9113;1;77;3;0;1;"2015-08-20";"2015-08-27";134.99
178;23267;1;285;1;0;1;"2015-07-15";"2015-07-16";74.0
179;8811;1;77;2;1;1;"2015-07-26";"2015-08-03";60.29
180;23246;1;285;2;0;1;"2015-07-18";"2015-07-19";149.0
181;13939;1;314;1;0;1;"2016-07-10";"2016-07-13";121.8
182;23185;1;285;2;0;1;"2015-07-31";"2015-08-02";107.1
183;34906;1;241;2;3;1;"2015-07-17";"2015-07-18";274.0
184;23248;1;285;4;0;1;"2015-07-17";"2015-07-18";120.0
185;23737;1;285;2;0;1;"2015-07-16";"2015-07-18";107.1
186;23840;1;285;1;4;1;"2015-07-16";"2015-07-19";209.0
187;23863;1;285;2;0;1;"2016-05-05";"2016-05-09";237.49
188;23613;1;285;1;0;1;"2015-07-20";"2015-07-21";84.0
189;9008;1;77;1;0;1;"2015-07-24";"2015-08-07";114.99
190;23249;1;285;4;0;1;"2016-03-10";"2016-03-11";116.1
191;9431;1;77;1;0;1;"2015-07-18";"2015-07-30";72.99
192;9098;1;77;2;2;1;"2015-07-27";"2015-07-28";104.99
193;23456;1;285;1;0;1;"2015-07-17";"2015-07-18";85.5
194;23623;1;285;2;0;1;"2015-07-26";"2015-07-27";78.3
195;23980;1;285;2;0;1;"2015-07-18";"2015-07-19";89.0
196;23225;1;285;4;0;1;"2015-07-22";"2015-07-23";5.0
197;23571;1;285;1;0;1;"2015-07-15";"2015-07-16";95.0
198;23833;1;285;2;0;1;"2015-07-15";"2015-07-16";107.1
199;23197;1;285;1;0;1;"2015-07-15";"2015-07-16";109.0
200;23438;1;285;1;0;1;"2015-07-15";"2015-07-16";85.0
201;23229;1;285;2;2;1;"2015-07-21";"2015-07-23";80.0
202;23880;1;285;2;0;1;"2016-02-15";"2016-02-18";125.1
203;9099;1;77;2;0;1;"2015-07-23";"2015-07-24";74.99
204;9098;1;77;2;2;1;"2015-07-27";"2015-07-28";104.99
205;23726;1;285;2;0;1;"2015-07-17";"2015-07-19";115.0
206;9244;1;77;1;1;1;"2015-09-27";"2015-09-29";124.0
207;23228;1;285;1;0;1;"2015-07-15";"2015-07-16";84.55
208;24011;1;285;2;2;1;"2015-07-21";"2015-07-22";109.0
209;24008;1;285;1;0;1;"2015-07-15";"2015-07-16";72.0
210;23883;1;285;2;3;1;"2015-08-23";"2015-08-28";64.8
211;9412;1;77;2;0;1;"2015-07-16";"2015-07-17";104.99
212;23350;1;285;1;0;1;"2015-08-11";"2015-08-12";152.1
213;23466;1;285;2;0;1;"2015-07-18";"2015-07-20";82.8
214;23314;1;285;2;0;1;"2015-08-14";"2015-08-15";69.0
215;23242;1;285;1;0;1;"2015-07-26";"2015-07-27";94.05
216;23823;1;285;1;0;1;"2015-11-27";"2015-11-28";89.0
217;23954;1;285;2;0;1;"2015-09-03";"2015-09-07";152.1
218;23262;1;285;1;0;1;"2015-07-15";"2015-07-16";69.0
219;23234;1;285;2;0;1;"2015-10-02";"2015-10-04";154.0
220;23996;1;285;2;0;1;"2015-07-21";"2015-07-23";109.0
221;23623;1;285;2;0;1;"2015-07-27";"2015-07-28";80.1
222;9242;1;77;2;0;1;"2015-08-14";"2015-08-16";129.99
223;23561;1;285;2;0;1;"2015-07-24";"2015-07-27";83.0
224;23592;1;285;1;0;1;"2015-07-31";"2015-08-05";111.6
225;23291;1;285;1;0;1;"2015-07-20";"2015-07-24";62.1
226;23177;1;285;2;1;1;"2015-07-25";"2015-07-26";61.5
227;23682;1;285;1;0;1;"2015-07-23";"2015-07-26";84.0
228;23185;1;285;2;0;1;"2015-07-23";"2015-07-25";114.0
229;23361;1;285;1;0;1;"2015-11-29";"2015-12-11";98.1
230;23744;1;285;3;0;1;"2015-10-23";"2015-10-24";89.1
231;23998;1;285;2;0;1;"2015-07-15";"2015-07-16";99.0
232;23893;1;285;2;0;1;"2015-07-21";"2015-07-22";116.1
233;23298;1;285;1;0;1;"2015-08-12";"2015-08-15";94.5
234;23286;1;285;1;0;1;"2015-07-15";"2015-07-16";82.0
235;23823;1;285;2;0;1;"2015-08-20";"2015-08-22";95.92
236;23767;1;285;1;0;1;"2015-09-07";"2015-09-10";87.0
237;9343;1;77;1;0;1;"2015-07-23";"2015-07-24";56.99
238;23986;1;285;3;0;1;"2015-07-24";"2015-07-26";75.05
239;8870;1;77;1;0;1;"2015-07-26";"2015-07-31";1.0
240;23253;1;285;1;0;1;"2016-04-06";"2016-04-07";109.25
241;23193;1;285;1;0;1;"2015-07-16";"2015-07-17";89.0
242;23412;1;285;3;0;1;"2015-09-05";"2015-09-07";74.0
243;23215;1;285;1;0;1;"2015-07-16";"2015-07-17";76.5
244;23303;1;285;1;0;1;"2015-07-15";"2015-07-16";75.0
245;23316;1;285;2;0;1;"2015-08-18";"2015-08-20";103.5
246;23293;1;285;2;0;1;"2015-07-24";"2015-07-25";65.0
247;23944;1;285;1;0;1;"2015-08-09";"2015-08-13";83.0
248;23519;1;285;1;0;1;"2015-07-27";"2015-07-31";76.5
249;9008;1;77;1;0;1;"2015-07-24";"2015-08-07";114.99
250;23735;1;285;1;0;1;"2015-07-29";"2015-07-30";97.58
251;23905;1;285;1;0;1;"2015-08-09";"2015-08-12";116.16
252;23401;1;285;2;0;1;"2015-07-28";"2015-07-30";90.0
253;23558;1;285;1;0;1;"2015-07-19";"2015-07-20";94.05
254;23973;1;285;3;0;1;"2015-07-31";"2015-08-01";62.0
255;23357;1;285;1;0;1;"2015-07-15";"2015-07-16";79.0
256;23308;1;285;1;0;1;"2015-08-07";"2015-08-09";107.1
257;23181;1;285;1;0;1;"2015-08-21";"2015-08-23";82.65
